Table 2. Clinical Findings in Patients with ANDV Infection.,
Clinical Finding No./Total No. (%),
Prodromal symptoms,
Fever 33/33 (100),
Headache,19/33 (58)
Myalgia 19/33 (58),
Asthenia,22/33 (67)
Gastrointestinal manifestations 18/33 (55),
Abdominal pain,17/33 (52)
Nausea or emesis 10/33 (30),
Diarrhea,6/33 (18)
Odynophagia 3/33 (9),
Blurred vision,2/33 (6)
Cardiopulmonary outcomes,
Compromised hepatic function,32/33 (97)
Compromised respiratory function 25/33 (76),
Compromised renal function,18/30 (60)
Shock 11/33 (33),
